Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
South Carolina	US	3/28/2020 23:05	3	0	0
Louisiana	US	3/28/2020 23:05	9	1	0
Virginia	US	3/28/2020 23:05	2	0	0
Idaho	US	3/28/2020 23:05	76	0	0
Iowa	US	3/28/2020 23:05	1	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Missouri	US	3/28/2020 23:05	1	0	0
Oklahoma	US	3/28/2020 23:05	3	0	0
Colorado	US	3/28/2020 23:05	71	0	0
Idaho	US	3/28/2020 23:05	0	0	0
Illinois	US	3/28/2020 23:05	1	0	0
Indiana	US	3/28/2020 23:05	1	0	0
Iowa	US	3/28/2020 23:05	0	0	0
Mississippi	US	3/28/2020 23:05	6	0	0
Nebraska	US	3/28/2020 23:05	2	0	0
North Dakota	US	3/28/2020 23:05	0	0	0
Ohio	US	3/28/2020 23:05	0	0	0
Pennsylvania	US	3/28/2020 23:05	8	0	0
Washington	US	3/28/2020 23:05	5	0	0
Wisconsin	US	3/28/2020 23:05	0	0	0
Vermont	US	3/28/2020 23:05	15	0	0
South Carolina	US	3/28/2020 23:05	7	0	0
Minnesota	US	3/28/2020 23:05	0	0	0
Florida	US	3/28/2020 23:05	67	0	0
North Carolina	US	3/28/2020 23:05	5	0	0
California	US	3/28/2020 23:05	220	4	0
Colorado	US	3/28/2020 23:05	1	0	0
New York	US	3/28/2020 23:05	195	0	0
Wyoming	US	3/28/2020 23:05	1	0	0
Virginia	US	3/28/2020 23:05	16	0	0
Michigan	US	3/28/2020 23:05	0	0	0
Mississippi	US	3/28/2020 23:05	1	0	0
Alaska	US	3/28/2020 23:05	0	0	0
Alaska	US	3/28/2020 23:05	0	0	0
Illinois	US	3/28/2020 23:05	0	0	0
North Carolina	US	3/28/2020 23:05	1	0	0
Virginia	US	3/28/2020 23:05	20	0	0
Oklahoma	US	3/28/2020 23:05	0	0	0
Michigan	US	3/28/2020 23:05	0	0	0
Iowa	US	3/28/2020 23:05	7	1	0
Michigan	US	3/28/2020 23:05	2	0	0
Maryland	US	3/28/2020 23:05	0	0	0
New York	US	3/28/2020 23:05	2	0	0
North Carolina	US	3/28/2020 23:05	1	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Pennsylvania	US	3/28/2020 23:05	219	2	0
Indiana	US	3/28/2020 23:05	23	1	0
Kansas	US	3/28/2020 23:05	0	0	0
Kentucky	US	3/28/2020 23:05	1	0	0
Louisiana	US	3/28/2020 23:05	7	0	0
Ohio	US	3/28/2020 23:05	2	0	0
South Carolina	US	3/28/2020 23:05	0	0	0
Michigan	US	3/28/2020 23:05	0	0	0
California	US	3/28/2020 23:05	0	0	0
California	US	3/28/2020 23:05	2	0	0
Virginia	US	3/28/2020 23:05	1	0	0
Virginia	US	3/28/2020 23:05	2	0	0
Mississippi	US	3/28/2020 23:05	0	0	0
Alaska	US	3/28/2020 23:05	43	1	0
Kansas	US	3/28/2020 23:05	0	0	0
Kentucky	US	3/28/2020 23:05	2	1	0
South Carolina	US	3/28/2020 23:05	24	0	0
Tennessee	US	3/28/2020 23:05	5	0	0
Texas	US	3/28/2020 23:05	0	0	0
Missouri	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	1	0	0
Maine	US	3/28/2020 23:05	7	0	0
Texas	US	3/28/2020 23:05	1	0	0
Maryland	US	3/28/2020 23:05	88	0	0
Minnesota	US	3/28/2020 23:05	12	0	0
North Carolina	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Michigan	US	3/28/2020 23:05	0	0	0
Arizona	US	3/28/2020 23:05	13	0	0
Iowa	US	3/28/2020 23:05	1	0	0
Georgia	US	3/28/2020 23:05	0	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	0	0	0
Colorado	US	3/28/2020 23:05	155	1	0
Texas	US	3/28/2020 23:05	0	0	0
Colorado	US	3/28/2020 23:05	0	0	0
Michigan	US	3/28/2020 23:05	0	0	0
Arkansas	US	3/28/2020 23:05	0	0	0
Virginia	US	3/28/2020 23:05	75	0	0
Pennsylvania	US	3/28/2020 23:05	2	0	0
Texas	US	3/28/2020 23:05	0	0	0
Maine	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Louisiana	US	3/28/2020 23:05	107	1	0
North Carolina	US	3/28/2020 23:05	0	0	0
Ohio	US	3/28/2020 23:05	3	0	0
Wisconsin	US	3/28/2020 23:05	0	0	0
Arkansas	US	3/28/2020 23:05	0	0	0
Ohio	US	3/28/2020 23:05	6	0	0
Washington	US	3/28/2020 23:05	0	0	0
Louisiana	US	3/28/2020 23:05	8	0	0
Texas	US	3/28/2020 23:05	2	0	0
Kansas	US	3/28/2020 23:05	0	0	0
Missouri	US	3/28/2020 23:05	1	0	0
Ohio	US	3/28/2020 23:05	2	0	0
Georgia	US	3/28/2020 23:05	0	0	0
New Jersey	US	3/28/2020 23:05	17	0	0
Oklahoma	US	3/28/2020 23:05	0	0	0
Mississippi	US	3/28/2020 23:05	9	0	0
Missouri	US	3/28/2020 23:05	0	0	0
Iowa	US	3/28/2020 23:05	0	0	0
Ohio	US	3/28/2020 23:05	1	0	0
Virginia	US	3/28/2020 23:05	0	0	0
South Dakota	US	3/28/2020 23:05	1	0	0
Texas	US	3/28/2020 23:05	1	0	0
